📋MASTER ASSET LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets - Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Subitems,Sortable Asset #,Asset - Category,Asset - Subcategory,Market,🗺️LOCATIONS🗺️,Brand,Model,S/N,Description,Assigned to (People),IP,Mac Addresses,Ports & Protocols,Status,Labelled?,Replacement,Health,Impact,Est. Date of Receival,OG Est. Equipment Life (Yrs),Current Est. Equipment Life (Yrs),Age (Only Year),OG vs Current Life Difference (Yrs),OG Est. End of Life Date,Current Est. End of Life,OG Equipment Life Timeline - Start,OG Equipment Life Timeline - End,Current Equipment Life Timeline - Start,Current Equipment Life Timeline - End,Est. Replacement Cost($),Est. Replacement Project Costs,Actual Acquisition ($),Vehicle - Insurance Broker,Vehicle - Insurance Provider,Vehicle - Policy #,Vehicle - Permit # / Customer #,Vehicle - Plate #,Vehicle - Lease (Mths),Vehicle - Lease Start Date,Vehicle - Lease End Date,Vehicle - Allowance/Yr (kms),Vehicle - Plate Renewal Date,FE Asset Number,Total Replacement Est. ($),Current 12 month Activity,link to 🧱TX SITE BREAKDOWN,Item ID (auto generated)
403,,403,Technical Equipment,Broadcast,Not Market Specific,TX Site - Belleville - Read,SAGE,3644,B430146,Emergency Alert Endec - Network Backup,,,,,Not in Use,Yes,Probably Replace,Healthy,Not in Use,2024-01-01,7,7,2,,2031-01-01,2031-01-01,2024-01-01,2031-01-01,2024-01-01,2031-01-01,4000,,,,,,,,,,,,,,4000,,,6970843833
402,,402,Technical Equipment,Connectivity,,TX Site - Belleville - Read,HP,J9450A,CN2292G192,1810G-24 Slot Switch,,,24:BE:05:6A:92:60,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2024-01-01,11,11,2,,2035-01-01,2035-01-01,2024-01-01,2035-01-01,2024-01-01,2035-01-01,250,,,,,,,,,,,,,,250,,,6864118155
401,,401,Technical Equipment,Broadcast,Thunder Bay,TX Site - Thunder Bay - Carrie,Bext,TFLBDI N Type,NOT LIKELY TO GET/ MAY NOT HAVE/CANNOT FIND,Antenna,,N/A,,,In Use,Not Necessary,Replace,Healthy,Critical,2024-06-07,25,25,2,,2049-06-07,2049-06-07,2024-06-07,2049-06-07,2024-06-07,2049-06-07,1500,500,,,,,,,,,,,,,2000,,,6802432192
400,,400,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Myat,580-180-2,03142024-1,Myat 7-16 DIN coaxial switch - 115V drive 24VDC control,,N/A,,,In Use,No,Replace,Healthy,Critical,2024-05-03,25,25,2,,2049-05-03,2049-05-03,2024-05-03,2049-05-03,2024-05-03,2049-05-03,6000,,,,,,,,,,,,,,6000,,,6713430467
399,,399,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Aim TTi,TF930,582899,Aim-TTI Instruments TF930 frequency counter,,N/A,,,In Use,No,Replace,Healthy,Low,2024-05-03,15,15,2,,2039-05-03,2039-05-03,2024-05-03,2039-05-03,2024-05-03,2039-05-03,850,,,,,,,,,,,,,,850,,,6713388310
398,,398,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Middle Atlantic Products,WRK-44SA-32,,Rack,,N/A,,,In Use,No,Replace,Healthy,Critical,2024-05-03,50,50,2,,2074-05-03,2074-05-03,2024-05-03,2074-05-03,2024-05-03,2074-05-03,2000,,,,,,,,,,,,,,2000,,,6713322478
397,,397,Technical Equipment,Power,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Eaton,9PX1500RT,PA18P37V55,Online UPS,,N/A,,,In Use,No,Replace,Healthy,Critical,2024-05-03,5,5,2,,2029-05-03,2029-05-03,2024-05-03,2029-05-03,2024-05-03,2029-05-03,2000,,,,,,,,,,,,,,2000,,,6713223180
396,,396,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Aldena,DCF2Y525022Al,52245,Aldena DCF2Y525022 Dual Bridge CIB FM Combiner,,N/A,,,In Use,No,Replace,Healthy,Critical,2024-05-03,25,25,2,,2049-05-03,2049-05-03,2024-05-03,2049-05-03,2024-05-03,2049-05-03,20000,,,,,,,,,,,,,,20000,,,6712952739
395,,395,Technical Equipment,Broadcast,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Fostex,RM-3,0970932QT,Rack Speakers,,N/A,,,In Use,No,Replace,Healthy,Low,2024-05-03,10,10,2,,2034-05-03,2034-05-03,2024-05-03,2034-05-03,2024-05-03,2034-05-03,800,,,,,,,,,,,,,,800,,,6712952668
394,,394,Technical Equipment,Connectivity,Saskatoon,TX Site - Saskatoon - Rawlco Tower,Netgear,GS116NACA,2W432B50A285F,16 port switch,,N/A,,,In Use,No,Replace,Healthy,Critical,2024-05-03,15,15,2,,2039-05-03,2039-05-03,2024-05-03,2039-05-03,2024-05-03,2039-05-03,150,,,,,,,,,,,,,,150,,,6712952593
