"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"02/24/2026 10:18:40","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.9","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","scanner-test","0s"," ","","","","","","","","","NA","","scanner-test via Web from 88.210.63.9","User login denied due to bad credentials",""
"02/24/2026 10:20:07","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","92.63.197.33","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","readwrite","0s"," ","","","","","","","","","NA","","readwrite via Web from 92.63.197.33","User login denied due to bad credentials",""
"02/24/2026 10:21:18","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.156.73.16","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","ftpdata","0s"," ","","","","","","","","","NA","","ftpdata via Web from 185.156.73.16","User login denied due to bad credentials",""
"02/24/2026 10:23:14","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","195.178.136.40","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","virtualbox","0s"," ","","","","","","","","","NA","","virtualbox via Web from 195.178.136.40","User login denied due to bad credentials",""
"02/24/2026 10:25:18","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.4","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","tmpl","0s"," ","","","","","","","","","NA","","tmpl via Web from 88.210.63.4","User login denied due to bad credentials",""
"02/24/2026 10:26:07","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.10","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","rahul","0s"," ","","","","","","","","","NA","","rahul via Web from 88.210.63.10","User login denied due to bad credentials",""
"02/24/2026 10:28:24","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.11","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","asd","0s"," ","","","","","","","","","NA","","asd via Web from 88.210.63.11","User login denied due to bad credentials",""
"02/24/2026 10:32:41","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","185.218.138.12","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","mm","0s"," ","","","","","","","","","NA","","mm via Web from 185.218.138.12","User login denied due to bad credentials",""
"02/24/2026 10:34:27","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.62","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","group","0s"," ","","","","","","","","","NA","","group via Web from 88.210.63.62","User login denied due to bad credentials",""
"02/24/2026 10:35:53","33","Users","Authentication Access","Unknown User Login Attempt","Standard String Service","Alert","","","","X1","","","","X1","","88.210.63.12","","","","","","69.31.226.50","443","","","","","tcp","","","","","","","hernandez","0s"," ","","","","","","","","","NA","","hernandez via Web from 88.210.63.12","User login denied due to bad credentials",""
